             core_61  |            lead_box  | 0 10 th fiber in the lead box  |                       0.5*cm -0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 61 
             core_62  |            lead_box  | 1 10 th fiber in the lead box  |                      0.5*cm -0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 62 
             core_63  |            lead_box  | 2 10 th fiber in the lead box  |                      0.5*cm -0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 63 
             core_64  |            lead_box  | 3 10 th fiber in the lead box  |                       0.5*cm 0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 64 
             core_65  |            lead_box  | 4 10 th fiber in the lead box  |                       0.5*cm 0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 65 
             core_66  |            lead_box  | 5 10 th fiber in the lead box  |                        0.5*cm 0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 66 
           inclad_67  |            lead_box  | 0 0 th inclad in the lead box  |                      -0.5*cm -0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 67 
           inclad_68  |            lead_box  | 1 0 th inclad in the lead box  |                     -0.5*cm -0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 68 
           inclad_69  |            lead_box  | 2 0 th inclad in the lead box  |                     -0.5*cm -0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 69 
           inclad_70  |            lead_box  | 3 0 th inclad in the lead box  |                      -0.5*cm 0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | 7CCBFF   |                Tube  |                        0.046*cm 0.048*cm 2*cm 0*deg 360*deg  |              inclad  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                       inclada manual 70 
